urn,isPublicDomain
URN:NBN:no-nb_digibok_2009051812005,True
URN:NBN:no-nb_digibok_2016051048054,False
URN:NBN:no-nb_digibok_2009041403009,True
URN:NBN:no-nb_digibok_2009040303003,False
URN:NBN:no-nb_digibok_2009050712001,False
URN:NBN:no-nb_digibok_2008040204092,True
URN:NBN:no-nb_digibok_2016042848101,True
URN:NBN:no-nb_digibok_2009021803045,False
URN:NBN:no-nb_digibok_2008040104102,True
URN:NBN:no-nb_digibok_2010020803026,True
URN:NBN:no-nb_digibok_2013072408071,True
URN:NBN:no-nb_digibok_2013061808054,False
URN:NBN:no-nb_digibok_2008040300013,True
URN:NBN:no-nb_digibok_2014110308161,True
URN:NBN:no-nb_digibok_2016090708287,False
URN:NBN:no-nb_digibok_2006111701058,True
URN:NBN:no-nb_digibok_2013061808041,True
URN:NBN:no-nb_digibok_2013080706153,True
URN:NBN:no-nb_digibok_2011031412004,False
URN:NBN:no-nb_digibok_2009021703002,True
URN:NBN:no-nb_digibok_2009012803007,True
URN:NBN:no-nb_digibok_2017080748090,False
URN:NBN:no-nb_digibok_2006111700007,True
URN:NBN:no-nb_digibok_2009051112004,True
URN:NBN:no-nb_digibok_2009032303011,True
URN:NBN:no-nb_digibok_2006112300054,True
URN:NBN:no-nb_digibok_2009010803011,True
URN:NBN:no-nb_digibok_2010031912006,True
URN:NBN:no-nb_digibok_2009010803031,True
URN:NBN:no-nb_digibok_2013060306081,False
URN:NBN:no-nb_digibok_2009040712005,True
URN:NBN:no-nb_digibok_2021041348661,False
URN:NBN:no-nb_digibok_2009041403007,True
URN:NBN:no-nb_digibok_2009050503014,True
URN:NBN:no-nb_digibok_2009030403044,True
URN:NBN:no-nb_digibok_2013070308052,False
URN:NBN:no-nb_digibok_2018020748046,True
URN:NBN:no-nb_digibok_2006112001059,True
URN:NBN:no-nb_digibok_2008040200055,True
URN:NBN:no-nb_digibok_2010042106068,True
URN:NBN:no-nb_digibok_2009042112004,True
URN:NBN:no-nb_digibok_2006082400076,True
URN:NBN:no-nb_digibok_2009022603004,True
URN:NBN:no-nb_digibok_2009012903024,True
URN:NBN:no-nb_digibok_2013061308130,True
URN:NBN:no-nb_digibok_2009032303010,True
URN:NBN:no-nb_digibok_2014041406092,True
URN:NBN:no-nb_digibok_2006081600051,True
URN:NBN:no-nb_digibok_2020110907594,False
URN:NBN:no-nb_digibok_2016100508029,True
URN:NBN:no-nb_digibok_2014073108102,True
URN:NBN:no-nb_digibok_2013061808190,True
URN:NBN:no-nb_digibok_2013041105048,True
URN:NBN:no-nb_digibok_2013092407028,True
URN:NBN:no-nb_digibok_2018042748096,True
URN:NBN:no-nb_digibok_2009042803030,False
URN:NBN:no-nb_digibok_2017031548123,True
URN:NBN:no-nb_digibok_2016060908021,True
URN:NBN:no-nb_digibok_2009041603022,False
URN:NBN:no-nb_digibok_2006111701043,True
URN:NBN:no-nb_digibok_2017060248006,True
URN:NBN:no-nb_digibok_2008040201019,True
URN:NBN:no-nb_digibok_2009021603028,True
URN:NBN:no-nb_digibok_2016101848013,False
URN:NBN:no-nb_digibok_2018042548139,True
URN:NBN:no-nb_digibok_2009022603001,True
URN:NBN:no-nb_digibok_2008040201031,True
URN:NBN:no-nb_digibok_2013070308031,True
URN:NBN:no-nb_digibok_2006112401018,True
URN:NBN:no-nb_digibok_2010081610001,False
URN:NBN:no-nb_digibok_2013061708059,False
